4, 
0, 79, 19, 
 1.1634, 1.1634, 1.1634, 1.1634, 1.1633, 1.1633, 1.1633, 1.1632, 1.1632, 1.1632, 1.1631, 1.1631, 1.1631, 1.1630, 1.1630, 1.1630, 1.1630, 1.1630, 1.1629, 
 1.1634, 1.1634, 1.1634, 1.1634, 1.1634, 1.1633, 1.1633, 1.1633, 1.1632, 1.1632, 1.1631, 1.1631, 1.1631, 1.1630, 1.1630, 1.1630, 1.1629, 1.1629, 1.1629, 
 1.1634, 1.1634, 1.1634, 1.1634, 1.1634, 1.1633, 1.1633, 1.1633, 1.1632, 1.1632, 1.1631, 1.1631, 1.1630, 1.1630, 1.1630, 1.1630, 1.1629, 1.1629, 1.1629, 
 1.1635, 1.1635, 1.1634, 1.1634, 1.1634, 1.1633, 1.1633, 1.1633, 1.1632, 1.1632, 1.1631, 1.1631, 1.1630, 1.1630, 1.1630, 1.1629, 1.1629, 1.1629, 1.1629, 
 1.1635, 1.1635, 1.1635, 1.1634, 1.1634, 1.1634, 1.1633, 1.1633, 1.1632, 1.1632, 1.1631, 1.1631, 1.1630, 1.1630, 1.1629, 1.1629, 1.1629, 1.1629, 1.1629, 
 1.1635, 1.1635, 1.1635, 1.1635, 1.1634, 1.1634, 1.1633, 1.1633, 1.1632, 1.1632, 1.1631, 1.1631, 1.1630, 1.1630, 1.1629, 1.1629, 1.1628, 1.1628, 1.1628, 
 1.1636, 1.1636, 1.1636, 1.1635, 1.1635, 1.1634, 1.1634, 1.1633, 1.1632, 1.1632, 1.1631, 1.1630, 1.1630, 1.1629, 1.1629, 1.1628, 1.1628, 1.1628, 1.1628, 
 1.1637, 1.1637, 1.1636, 1.1636, 1.1635, 1.1635, 1.1634, 1.1633, 1.1633, 1.1632, 1.1631, 1.1630, 1.1629, 1.1629, 1.1628, 1.1628, 1.1627, 1.1627, 1.1627, 
 1.1638, 1.1638, 1.1637, 1.1637, 1.1636, 1.1635, 1.1634, 1.1634, 1.1633, 1.1632, 1.1631, 1.1630, 1.1629, 1.1628, 1.1628, 1.1627, 1.1627, 1.1626, 1.1626, 
 1.1639, 1.1639, 1.1638, 1.1637, 1.1637, 1.1636, 1.1635, 1.1634, 1.1633, 1.1632, 1.1631, 1.1629, 1.1628, 1.1628, 1.1627, 1.1626, 1.1626, 1.1625, 1.1625, 
 1.1640, 1.1640, 1.1639, 1.1638, 1.1638, 1.1637, 1.1635, 1.1634, 1.1633, 1.1631, 1.1630, 1.1629, 1.1628, 1.1627, 1.1626, 1.1625, 1.1625, 1.1624, 1.1624, 
 1.1642, 1.1641, 1.1640, 1.1640, 1.1639, 1.1637, 1.1636, 1.1635, 1.1633, 1.1631, 1.1630, 1.1628, 1.1627, 1.1626, 1.1625, 1.1624, 1.1623, 1.1622, 1.1622, 
 1.1644, 1.1643, 1.1642, 1.1641, 1.1640, 1.1639, 1.1637, 1.1635, 1.1633, 1.1631, 1.1630, 1.1628, 1.1626, 1.1625, 1.1623, 1.1622, 1.1622, 1.1621, 1.1620, 
 1.1646, 1.1646, 1.1644, 1.1643, 1.1642, 1.1640, 1.1638, 1.1636, 1.1634, 1.1631, 1.1629, 1.1627, 1.1625, 1.1623, 1.1622, 1.1621, 1.1620, 1.1618, 1.1618, 
 1.1649, 1.1649, 1.1647, 1.1645, 1.1643, 1.1641, 1.1639, 1.1636, 1.1634, 1.1631, 1.1628, 1.1626, 1.1624, 1.1622, 1.1620, 1.1618, 1.1617, 1.1616, 1.1616, 
 1.1652, 1.1652, 1.1650, 1.1648, 1.1646, 1.1643, 1.1640, 1.1637, 1.1634, 1.1630, 1.1628, 1.1625, 1.1622, 1.1620, 1.1618, 1.1616, 1.1615, 1.1613, 1.1613, 
 1.1657, 1.1656, 1.1653, 1.1651, 1.1648, 1.1645, 1.1642, 1.1638, 1.1634, 1.1630, 1.1626, 1.1623, 1.1620, 1.1617, 1.1615, 1.1613, 1.1612, 1.1610, 1.1609, 
 1.1662, 1.1661, 1.1658, 1.1655, 1.1652, 1.1648, 1.1643, 1.1639, 1.1634, 1.1630, 1.1625, 1.1621, 1.1618, 1.1614, 1.1612, 1.1609, 1.1608, 1.1605, 1.1605, 
 1.1668, 1.1667, 1.1663, 1.1660, 1.1656, 1.1651, 1.1645, 1.1640, 1.1634, 1.1629, 1.1623, 1.1619, 1.1615, 1.1611, 1.1608, 1.1605, 1.1603, 1.1601, 1.1600, 
 1.1676, 1.1675, 1.1670, 1.1666, 1.1660, 1.1654, 1.1648, 1.1641, 1.1633, 1.1627, 1.1621, 1.1616, 1.1611, 1.1607, 1.1603, 1.1600, 1.1598, 1.1595, 1.1594, 
 1.1686, 1.1684, 1.1678, 1.1673, 1.1666, 1.1658, 1.1650, 1.1641, 1.1633, 1.1625, 1.1618, 1.1612, 1.1606, 1.1601, 1.1597, 1.1594, 1.1592, 1.1588, 1.1588, 
